mid,bid,bdate,transtype
1,1,2024-01-01,issue
2,2,2024-01-02,return
3,3,2024-01-03,issue
4,4,2024-01-04,return
5,5,2024-01-05,issue
6,6,2024-01-06,return
7,7,2024-01-07,issue
8,8,2024-01-08,return
9,9,2024-01-09,issue
10,10,2024-01-10,return
11,11,2024-01-11,issue
12,12,2024-01-12,return
13,13,2024-01-13,issue
14,14,2024-01-14,return
15,15,2024-01-15,issue
16,16,2024-01-16,return
17,17,2024-01-17,issue
18,18,2024-01-18,return
19,19,2024-01-19,issue
20,20,2024-01-20,return
21,21,2024-01-21,issue
22,22,2024-01-22,return
23,23,2024-01-23,issue
24,24,2024-01-24,return
25,25,2024-01-25,issue
26,26,2024-01-26,return
27,27,2024-01-27,issue
28,28,2024-01-28,return
29,29,2024-01-29,issue
30,30,2024-01-30,return
31,31,2024-01-31,issue
32,32,2024-02-01,return
33,33,2024-02-02,issue
34,34,2024-02-03,return
35,35,2024-02-04,issue
36,36,2024-02-05,return
37,37,2024-02-06,issue
38,38,2024-02-07,return
39,39,2024-02-08,issue
40,40,2024-02-09,return
41,41,2024-02-10,issue
42,42,2024-02-11,return
43,43,2024-02-12,issue
44,44,2024-02-13,return
45,45,2024-02-14,issue
46,46,2024-02-15,return
47,47,2024-02-16,issue
48,48,2024-02-17,return
49,49,2024-02-18,issue
50,50,2024-02-19,return
51,51,2024-02-20,issue
52,52,2024-02-21,return
53,53,2024-02-22,issue
54,54,2024-02-23,return
55,55,2024-02-24,issue
56,56,2024-02-25,return
57,57,2024-02-26,issue
58,58,2024-02-27,return
59,59,2024-02-28,issue
60,60,2024-02-29,return
61,61,2024-03-01,issue
62,62,2024-03-02,return
63,63,2024-03-03,issue
64,64,2024-03-04,return
65,65,2024-03-05,issue
66,66,2024-03-06,return
67,67,2024-03-07,issue
68,68,2024-03-08,return
69,69,2024-03-09,issue
70,70,2024-03-10,return
71,71,2024-03-11,issue
72,72,2024-03-12,return
73,73,2024-03-13,issue
74,74,2024-03-14,return
75,75,2024-03-15,issue
76,76,2024-03-16,return
77,77,2024-03-17,issue
78,78,2024-03-18,return
79,79,2024-03-19,issue
80,80,2024-03-20,return
81,81,2024-03-21,issue
82,82,2024-03-22,return
83,83,2024-03-23,issue
84,84,2024-03-24,return
85,85,2024-03-25,issue
86,86,2024-03-26,return
87,87,2024-03-27,issue
88,88,2024-03-28,return
89,89,2024-03-29,issue
90,90,2024-03-30,return
91,91,2024-03-31,issue
92,92,2024-04-01,return
93,93,2024-04-02,issue
94,94,2024-04-03,return
95,95,2024-04-04,issue
96,96,2024-04-05,return
97,97,2024-04-06,issue
98,98,2024-04-07,return
99,99,2024-04-08,issue
100,100,2024-04-09,return
